ID,GENDER,STATUS,CHILDREN,ESTINCOME,CAROWNER,AGE,CreditCard,DOB,ADDRESS_1,CITY,STATE,ZIP,ZIP4,LONGITUDE,LATITUDE
92,F,M,2,45429.7,Y,61.713333,6284048308250250,3/31/75,365 CALLE MENDEZ VIGO PMB 24487,RACELAND,LA,70394,0,,
94,F,S,0,25285.5,N,53.986667,4284716011622580,7/26/64,400 MOUNT ZION RD,ALLEN,TX,75002,0,,
95,F,M,2,77551.1,Y,33.6,3564952266709720,1/1/40,4229 US HIGHWAY 17,WEST MIFFLIN,PA,15122,5509,-79.874365,40.366387
110,F,S,2,21021.6,Y,62.753333,1832563114108610,12/16/46,PO BOX 40317,CRAFTON,PA,15205,0,,
111,M,S,0,74460.7,Y,55.34,6003457634211650,5/16/47,2144 N FLORIDA MANGO RD,KENEDY,TX,78119,0,-97.845388,28.827449
120,F,M,2,62061.8,Y,45.92,9378376404665920,8/14/22,7664 N SHORE PL,WALNUT CREEK,CA,94596,0,,
121,F,M,1,20550.9,Y,22.12,4819031173367730,2/23/85,2157 UNION SCHOOL RD SW,FAIRVIEW,NJ,7022,0,,
127,F,S,2,19131.1,N,56.186667,2613606716259200,10/18/16,147 COND TORRES DE CAROLINA,CAROLINA,PR,979,0,,
130,F,S,2,83073.7,N,39.553333,9189211683260230,3/13/84,14854 STATE HIGHWAY 34 PMB 14686,HUALAPAI,AZ,86412,0,,
133,M,M,2,42750.3,Y,50.493333,7834032513505260,6/16/26,19 101ST AVE,LA QUINTA,CA,92253,0,,
135,F,S,2,2842.55,N,45.92,4758472854831150,1/5/83,19518 SE 95TH ST,BROOKLEY FIELD,AL,36601,0,,
136,M,M,2,22358.1,N,52.626667,1893853008999310,3/19/15,84 S 2ND ST,DALTON,GA,30721,0,,
140,F,S,0,7325.5,N,36.92,1145189238802360,11/26/77,13232 IVAN TORS BLVD,MOUNT HOLLY,NJ,8060,0,,
142,M,M,2,28766.9,N,46.84,9661033569352060,3/1/42,1223 S LAKES END DR APT A1,COGAN STATION,PA,17728,0,,
148,M,M,2,91272.2,Y,25.033333,7288388299447630,8/20/46,23755AJ LORAIN RD STE 100,CAMAS,WA,98607,0,,
158,M,M,2,1406.05,Y,19.306667,4754983079188510,4/3/42,510 E HIGH ST STE 53,VEGA BAJA,PR,693,3538,,
160,F,S,0,73228.3,N,62,9031704503656250,9/25/48,548 AVENUE C # 4662 # 3129,HUNTSVILLE,AL,35810,0,,
161,F,S,2,76231.9,N,63.806667,8919331519861730,3/3/97,173 NE 698TH ST,KENOSHA,WI,53143,0,,
166,M,M,1,64792.3,N,52.146667,9854422087555130,10/14/84,2901 FRANCIS LEWIS BLVD,WETHERSFIELD,CT,6109,0,,
169,F,S,0,93322.1,Y,40.313333,7329639374174990,2/26/69,1312 GLENMAR AVE,ROXBURY,MA,2119,0,-71.080004,42.32869
174,M,M,1,63437.3,N,63.653333,3147827033203250,2/26/81,4800 COBBHAM RD,JOLIET,IL,60436,0,-88.119607,41.52053
178,M,M,2,49910.7,Y,51.52,6008627492331840,5/16/17,151 S BISHOP AVE APT B8,GRAND TOWER,IL,62942,0,-89.500268,37.627967
180,M,M,0,76161.4,Y,44.573333,9385565703788650,7/19/89,1427 SUNSET AVE NE,CITRUS SPRINGS,FL,34434,0,,
190,M,M,2,57360.8,Y,53.253333,1709564656981150,4/16/11,1000 CUSTER HOLLOW RD,FRIENDSHIP,TN,38034,0,,
191,M,M,0,92414.7,Y,45.513333,8968920150997510,9/19/08,M F S  INTERNET,SAN ANTONIO,TX,78208,0,-98.471286,29.442981
192,M,M,1,60102.7,N,42.14,9447792351638330,10/16/37,6008 93RD AVE NE,BROWNSVILLE,MD,21715,0,,
194,F,M,2,17888.7,N,55,4698873626002930,7/7/81,PO BOX 184,LOUISVILLE,KY,40203,0,-85.75451,38.240544
195,F,S,1,12526.3,N,53.553333,8291785559787520,11/23/38,209 WILLOW AVE APT 2C # 2988,RINER,VA,24149,0,,
198,F,S,2,14578.8,Y,60.933333,9396627898192970,12/25/02,1356 IMESON ST,EL PASO,TX,79925,0,-106.34411,31.79488
201,M,M,0,78572.2,Y,42.346667,5994482147552280,2/23/70,1958 ELAINE ST,TAHLEQUAH,OK,74464,0,,
206,F,M,2,87578.2,Y,53.366667,7473769966168350,3/31/12,PO BOX 28126,ALPENA,MI,49707,0,-83.434871,45.064883
209,F,S,2,76791.2,N,61,8429841012429540,10/25/82,8385 SOFT WIND DR,FAUCETT,MO,64448,0,,
218,F,M,0,83287,N,45.486667,4146030611054670,6/3/56,3569 OLDFIELD RD,PIEDMONT,OK,73078,0,,
219,M,S,0,2056.06,Y,18.94,8592071042428070,1/13/97,200 CALLE PEDRO FLORES,HUMACAO,PR,791,0,,
221,M,M,1,2067.82,N,47.853333,6821374409781270,12/20/93,PO BOX 3292,FAIRFIELD,IL,62837,0,-88.360047,38.381199
224,F,M,2,69343.3,N,42.166667,7980964289246900,8/1/79,119 MASS AVE,DORCHESTER,MA,2125,0,-71.06172,42.317808
225,F,M,0,77000,N,55,1825503113838270,5/29/56,3402 264TH AVE SE,CALDWELL,NJ,7006,0,,
229,F,S,0,27498.1,N,42,4458532225903060,8/14/72,11019 SE 200TH ST,WILDWOOD,NJ,8260,0,-74.816989,38.989925
231,F,M,2,21419.9,N,59.833333,2870517617642400,12/21/21,1366 CULLEN AVE,MATTESON,IL,60443,0,,
232,F,M,2,30665.2,Y,22.88,4128857092831670,2/15/07,2479 ROBINSON RD SE,LUMBERTON,NC,28358,7128,-78.983611,34.641651
233,F,M,1,66000,Y,63.353333,6770105837667340,7/7/41,8366 CUTLER WAY,PIXLEY,CA,93256,0,,
234,F,M,2,50561.3,N,52,7067537956710160,3/6/14,727 BUNKER HILL RD APT 65,POULSBO,WA,98370,0,,
236,F,S,2,23464,Y,70,1926078152559130,1/18/36,412 W SOUTH ST APT 1,WEST PALM BEACH,FL,33404,0,,
237,F,M,2,194.57,N,42,2182689861273590,1/16/82,201 BROOKLINE AVE,MOBILE,AL,36603,0,-88.048547,30.701471
238,F,M,1,98680.4,Y,55,4365746537433390,5/7/37,870 TALLYHO CIR,WHEATLAND,ND,58079,0,,
239,M,M,1,65619.7,Y,46,1801848506095090,11/5/13,1851 S SHORE E,CUTTINGSVILLE,VT,5738,0,,
241,F,S,0,85275,N,47,1985276551178080,4/1/17,293 NORTH ST APT 2,BALL GROUND,GA,30107,0,,
243,F,M,1,98453.6,Y,46,6977870780245210,5/3/98,1 BANK ONE PLZ,NORMAN,OK,73070,0,,
244,F,M,2,94026.8,Y,27.746667,9907461247798640,10/4/63,20 SHERMAN PATH APT A,OSWEGO,NY,13126,0,,
246,F,S,2,57420,Y,61,7491114527414880,11/13/87,2237 N FREEWAY,AUBREY,TX,76227,0,,
254,F,M,2,18296.4,Y,42.626667,6215966583194040,4/14/11,307 W ELM ST APT 1,URBANA,IL,61801,7830,,
257,F,S,1,68000,N,60,6017475294162630,11/24/68,7363 140TH AVE N,RIVERTON,UT,84065,0,,
261,F,S,2,86747.1,N,64.853333,1354079573227230,9/6/02,8071 E JOHN PARKE RD,NEW YORK,NY,10029,0,-73.951312,40.788769
263,F,M,1,87404.6,N,63.186667,7303638287841440,12/2/84,569 CORPORATE DR,MOCA,PR,676,0,,
264,M,S,2,20919,N,27.886667,8595923597205590,1/19/75,6263 INDIAN TRAIL RD,CAMBRIDGE,NY,12816,0,,
265,F,M,2,85394,Y,20.16,5150300085050290,10/27/22,101 OLD US HIGHWAY 93,WINIGAN,MO,63566,0,,
266,F,S,0,2121.36,N,39.786667,4632642711645870,11/2/76,33 CLARK,HOBOKEN,NJ,7030,2678,-74.040971,40.741928
267,F,M,2,63566.1,Y,56.3,5619698337989330,3/15/00,14 PLYMOUTH CT,BENTON,IL,62812,0,-88.916957,37.996828
272,F,M,2,82644.2,Y,33.493333,8630217100051320,5/19/53,279 NEWTONS CORNER RD,MOBILE,AL,36607,0,-88.105987,30.699054
281,F,M,2,34577.7,N,63.253333,5617310515414450,5/7/89,101 BROADWAY,PHOENIX,AZ,85050,0,,
284,F,S,2,19008.4,Y,52.166667,1277738341663760,4/2/74,121 US HIGHWAY 46,BLAUVELT,NY,10913,0,,
285,F,M,0,98056.3,N,55.966667,9643346866011370,12/31/80,595 BLOOMFIELD AVE,MANHATTAN,KS,66503,3182,,
286,M,M,0,73400,Y,64.226667,9362982454027530,4/4/40,7409 WOODRIDGE DR STE A,BUTLER,NJ,7405,0,,
288,M,M,0,78894.2,N,28,3486395372961060,7/14/77,1116 HAWKINS RD,HUALAPAI,AZ,86412,0,,
289,M,S,1,16432.1,Y,20.92,8751354423190340,12/15/34,154 WILMOT RD,SEATTLE,WA,98103,0,-122.350139,47.690691
291,M,S,1,71329.9,Y,42.233333,7150249909004220,8/11/56,103 ANNS LN,TIMKEN,KS,67575,0,,
295,F,S,0,20913.6,N,53.013333,8358220736118910,12/12/50,236 S 48TH ST STE 1,SAN SEBASTIAN,PR,685,0,,
304,M,M,1,75799.9,N,46.38,8721037643124460,2/25/77,5552 OAKWOOD RD NW APT 430 # 1969,DALLAS,TX,75234,6273,,
305,F,S,2,15688.5,N,53.06,6218307485405890,7/7/11,362 EASTPORT MANOR RD,MODESTO,CA,95356,0,,
308,F,S,0,5185.31,N,62.053333,6297315080915520,2/11/25,3129 W DRAVUS ST,PROVO,UT,84604,0,,
312,F,M,2,80087.7,N,41.92,3476418115379580,5/6/16,9537 N 7600 W,PEORIA,IL,61614,0,,
313,F,M,2,59691.3,N,38.04,1468698886699240,8/11/08,10989 HIGHWAY 48 # 2928,PLAINFIELD,NJ,7063,0,,
315,F,S,2,11251.1,Y,61,5533041756420080,2/22/88,953 N MADISON AVE,EDMONDS,WA,98026,0,,
317,M,M,0,70908.7,N,49.62,4496632841528560,2/15/23,5720 INTEGRITY DR,GANSEVOORT,NY,12831,0,,
318,M,S,0,94928.3,N,40.18,1456487303965690,5/29/07,15 TWIN BROOKS DR,SAN GERMAN,PR,683,0,,
320,F,M,2,50622.3,N,40.46,2714419636074610,2/21/17,1630 BAKER RD LOT 8,PHOENIX,AZ,85028,0,,
326,M,M,0,100020,Y,52.266667,4686713811021180,3/28/90,1150 VULTEE BLVD APT G1,KANSAS CITY,MO,64112,0,,
329,F,M,1,56722.8,N,60.593333,7615392675405930,10/3/23,PO BOX 7780,BLAINE,ME,4734,0,,
331,M,M,1,80000,N,53.213333,7742359994708230,11/7/56,199 E STATE ROUTE 4,GLENBURN,ND,58740,0,,
332,F,S,2,3416.62,Y,22.76,9958463754281430,5/22/78,PO BOX 271,SYRACUSE,NY,13210,0,-76.141903,43.038772
333,F,M,0,73400,Y,55.633333,8603681402804560,8/1/24,158 NORTH AVE,DEVILS LAKE,ND,58301,0,-98.857231,48.110856
334,M,M,0,120000,Y,53.213333,9616120672366000,2/8/58,18 VILLAGE WAY APT 1005,SWAMPSCOTT,MA,1907,0,,
335,F,M,2,8032.16,N,45.666667,5876701864364300,11/20/11,700 AVENUE M,LOGAN,OH,43138,0,-82.411849,39.539814
336,F,S,1,93454.3,Y,48.533333,6002389817283690,11/27/26,4309 43RD ST APT 2E,MOCA,PR,676,0,,
338,F,S,0,83287,N,77,7214458810209800,1/31/25,450 7TH ST APT 1L,LODI,NJ,7644,0,-74.084046,40.877256
339,F,S,0,92564.1,Y,49.133333,5932098843318950,5/13/95,2215 PIZITZ DR SW APT 45,HUNTSVILLE,AL,35803,0,,
343,F,M,2,48322.5,Y,49.333333,6163059598016380,1/8/03,PO BOX 750,LOCK HAVEN,PA,17745,0,-77.464071,41.128142
346,F,M,2,81913.8,Y,49.66,8427459529757670,5/9/79,498 BETHANY DR,NEW YORK,NY,10131,9901,,
349,F,S,0,919.93,N,38.26,2818175334113590,10/14/83,264 6TH ST,KINGMAN,AZ,86401,0,,
350,F,M,2,69486.8,N,30.946667,1608342686047050,8/14/94,3613 W COMMODORE WAY,DELTONA,FL,32738,0,,
351,F,M,2,24482.8,N,33.533333,2114378578514580,1/17/81,7841 WH BURGES DR,SHELBY,MI,49455,0,,
353,F,M,0,14573.6,N,64.606667,7644316890606550,9/28/61,129 CALLE SAN RAFAEL,SAN ANTONIO,PR,690,0,,
356,F,S,0,17138.2,N,63.786667,4462454780150550,11/27/54,3 JOHN F KENNEDY BLVD,HOUSTON,TX,77027,9356,,
358,F,M,2,47010.1,N,57.406667,2460623100114170,5/9/61,162 CACHE POINT LN APT 19101,WOODRIDGE,IL,60517,0,,
361,M,M,1,69406.7,Y,30,9842082974229430,10/12/45,248 W 88TH ST PH A,FALL RIVER,MA,2721,0,-71.14417,41.679049
363,F,M,2,83259.3,N,50.88,3975149660846220,5/25/16,300 AVE LLORENS TORRES,MARION,IN,46953,0,-85.680868,40.549571
370,F,M,2,2185.6,N,52.513333,7918641671969290,10/18/61,1651 KINGSWAY CT STE 2,EL RENO,OK,73036,0,,
372,M,M,1,76511.3,N,62.08,6587940720964020,6/8/21,444 OAK HOLLOW DR APT 102,MARSHALLVILLE,GA,31057,0,,
374,F,M,1,6946.07,N,23,3848635739694790,7/20/39,821 S ACACIA AVE APT 1,MOBILE,AL,36609,0,,
375,F,M,2,11234.7,Y,49.046667,6079589933857630,9/24/41,35888 LAKE RD,GUAYANILLA,PR,656,0,,
383,F,M,2,63670.8,Y,46.146667,7836950069415080,3/12/70,PO BOX 2097,BRONX,NY,10459,2580,-73.900718,40.822368
384,M,S,0,83287,N,45.486667,3188635853221720,12/19/53,3313 EUROPA DR APT 211Y,SPRINGFIELD,MO,65810,0,,
385,F,S,1,66000,Y,45.486667,4522926539052210,4/27/74,101 KING RD,HOLLYWOOD,FL,33081,0,,
388,F,M,1,82931.3,N,64.64,4147949862208630,2/5/71,1120 22ND PL SW,ELMWOOD,WI,54740,0,,
389,F,M,2,57483.9,N,44.026667,3385214609257490,12/26/09,11348 BRYANT ST,HUNTSVILLE,AL,35801,0,-86.585312,34.733646
391,F,S,2,21274,N,45.526667,7185380922677950,4/15/08,5215 W US HIGHWAY 82,ELY,NV,89301,0,,
392,F,M,2,28267,N,30.093333,6413763437792000,3/20/75,1 CALLE B BDA VIETNAM,GAY,WV,25244,0,,
394,F,M,2,36725.1,N,55.793333,6677906975646160,7/16/47,634 E KLEINBECK ST,TWIN FALLS,ID,83301,0,-114.453183,42.550514
404,F,S,1,12374.9,Y,33.493333,4046127869051380,7/22/70,C12 VILLA ALBA,LONG BEACH,WA,98631,0,,
405,F,M,2,69133.9,Y,26.833333,2487228052205890,9/25/37,2 FISH HOUSE RD STE 1,LANETT,AL,36863,0,-85.199179,32.857679
407,F,M,2,84948,Y,29.446667,6205935191077020,12/29/35,319 ADAM CV,AUSTIN,TX,78727,0,-97.726689,30.424382
408,F,M,2,30998.8,N,40.96,3129348240012780,8/4/00,1300 N DORT HWY,VEGA BAJA,PR,693,0,,
414,M,M,2,21416.5,N,35.653333,4904866357846520,12/21/88,175 BROADWAY ST,HOBOKEN,NJ,7030,4064,-74.040971,40.741928
422,F,M,2,38215.9,N,30.886667,3867264147539060,12/3/62,2896 WESLEYAN PARK DR,FAIR OAKS,CA,95628,0,,
423,F,M,1,13829.4,N,22,8262665665635560,1/22/03,GENERAL DELIVERY,HOLMDEL,NJ,7733,0,,
424,F,M,2,49745.3,N,47.966667,8521335036500190,9/7/96,HC 73 BOX 887,FORT PLAIN,NY,13339,0,,
428,M,S,0,89142.7,N,33,9570040617432420,7/21/75,1151 E WARRENVILLE RD STE AJ-106,BROOKVILLE,PA,823,0,,
429,F,S,0,74530.8,N,63.086667,8744261596802880,2/9/21,99 OLD ROUTE 89,ALBANY,NY,12203,3520,,
431,F,S,0,35000,N,23,4566696443417940,1/6/05,PO BOX 159,LAKE CITY,FL,32024,0,,
436,F,M,2,76289.2,N,48.206667,2170970523636900,11/10/32,13600 59TH AVE,JAMESTOWN,NY,14702,0,,
438,M,M,1,66931.9,N,63.933333,3303945289625210,12/31/44,HC 78 BOX 5,YONKERS,NY,10710,5398,,
439,F,D,1,9309.57,Y,24,7155085052136270,2/9/29,943B CARRIAGEWAY APT 13,CHAZY,NY,12921,0,,
441,F,S,0,32962.6,N,19,6397082487264670,10/31/90,898 LINDEN AVE,PARIS,OH,44669,0,,
442,F,S,0,40000,N,20,2088818084339140,3/30/70,1451 N PEACH AVE APT 164,STRONGSVILLE,OH,44136,2775,,
443,F,S,2,33330,N,21,5535173817679440,11/12/66,852 OAK COUNTRY EST,FLUSHING,NY,11351,130,,
444,F,S,1,32098,N,22,7197231158340780,3/30/32,1 MEADOWBROOK RD,BARNHILL,IL,62809,0,,
445,F,S,2,30090,N,24,8314431765813430,8/31/21,8381 12TH AVE S,ORLANDO,FL,32830,0,,
450,F,M,2,90271.6,N,44.926667,5223827148929100,8/4/49,5 ESMOND AVE,WEST FARGO,ND,58078,0,-96.902237,46.868933
455,F,M,2,64816.6,Y,31.126667,1833001867127600,12/11/48,6300 AVE ISLA VERDE PH 9,LOUISA,KY,41230,0,-82.6733,38.1595
456,F,M,2,98217.1,N,44.98,3289027079617790,6/5/56,A23 CALLE MERCURIO,PHOENIX,AZ,85020,0,,
458,F,S,1,2929.13,N,53.506667,1923355434269670,8/9/46,7313 HENNESS CT,FLUSHING,NY,11358,0,,
461,M,M,0,96223.4,Y,64.76,4213734726697770,12/12/96,2 CALLE SANTA CECILIA,MAQUOKETA,IA,52060,0,,
463,M,M,0,69168.4,Y,62.426667,8839497204398810,1/29/17,3730 FM 1960 RD W STE 108,SAGINAW,MI,48601,0,-83.915852,43.406402
464,M,M,1,92148.5,Y,33,8002633151947580,1/20/83,738 MAIN ST N,DALE,TX,78616,0,,
466,M,S,0,62705.9,Y,32,1561126193787520,3/15/54,5 MARINE VIEW PLZ STE 300 # 3299,VOLO,IL,60020,0,,
468,M,S,0,84479.2,N,30,1572807968828860,11/8/34,9904 FOLIAGE,NEW PRESTON,CT,6777,0,,
469,F,M,2,64977.4,N,38.193333,2785264052681010,8/28/26,1084 WILMINGTON INDUSTRIAL PARK,SAN FRANCISCO,CA,94119,0,,
470,F,M,0,77994,N,50.553333,2421280294104690,1/23/50,18469 COUNTY ROAD 4665,REDWOOD CITY,CA,94061,0,,
472,F,M,0,59008.4,Y,30.18,4156937114907280,6/2/39,150 E 1ST AVE APT 106,HUALAPAI,AZ,86412,0,,
474,M,S,1,84978.1,N,21.64,1922140738817590,2/10/26,22314 SE 30TH ST,ALBANY,NY,12203,0,,
475,F,M,2,36647.9,N,49.986667,8927860011160880,2/25/52,671 WESTCHESTER AVE APT 17A,RUTHERFORD,NJ,7070,0,,
476,F,S,0,64319.2,N,41.226667,8650532583800250,3/12/42,66 CANAL,CAROLINA,PR,979,0,,
477,F,S,1,73338,N,48.246667,5921549334572160,2/28/08,114 COLES ST # 781 # 2609,CARMEL,CA,93922,0,,
479,F,M,2,16962.2,N,45.36,1205379164175620,10/14/68,F1 CALLE MARGARITA ESTEVA,STERLING,KS,67579,0,-98.20043,38.211836
481,M,M,2,10708.3,N,26.026667,7671087133159460,7/21/80,869 E NELSON ST,NORWALK,CT,6858,5001,,
484,F,M,0,2031.61,N,20.3,4110723316689610,6/29/43,37554 N 14TH ST,EULESS,TX,76040,0,,
488,F,S,2,16938.5,N,55,3604799468698460,4/19/70,371 B AVE W,MAYAGUEZ,PR,682,0,,
497,M,S,2,72084.7,N,55.64,4721057947558990,4/25/35,HC 75 BOX 325,GREENSBORO,NC,27407,0,,
499,F,S,1,49072,N,47,5644634019776890,11/2/30,A624 DORCHESTER AVE,FLUSHING,NY,11355,0,,
504,M,M,1,71472.9,N,41.913333,6253660937574520,7/16/33,226 PHELAND ST,WEST CHESTER,OH,45069,0,,
505,F,M,0,95405.7,N,42,1356004588278400,2/11/91,673 VERA AVE,HOUSTON,TX,77027,3511,,
506,F,S,0,95786.8,Y,43,1925245639043620,7/14/51,101 ALLENS DR,BASTROP,TX,78602,0,-97.321606,30.112671
510,F,M,2,56187,N,42,2571573714471150,1/12/19,7001 STOCKTON AVE STE 1,NEW YORK,NY,10029,0,-73.951312,40.788769
513,F,S,1,37000,N,24.393333,7673850483166620,1/10/77,15337 LESLIE DR NW,WAHPETON,ND,58075,0,,
518,M,M,2,29616,N,49.426667,9687196772345050,12/4/23,49 PRESCOTT ST,SEATTLE,WA,98122,0,-122.30989,47.616455
520,M,M,0,19732.8,N,50.673333,1910191687272730,11/27/30,1349 E BRICK AVE,DORADO,PR,646,0,,
523,M,S,2,96.33,N,56.473333,9378975534283740,4/27/47,9214 PITTSFIELD RD,HOUSTON,TX,77067,2534,,
526,F,M,2,52004.8,N,25.14,6081654333014760,9/25/77,4639 MAIN ST,NAUGATUCK,CT,6770,0,-73.062592,41.48141
529,M,M,2,53010.8,N,18.84,2736489986117830,11/11/85,363AU S MAIN ST STE 345,SEATTLE,WA,98136,0,-122.38704,47.539842
530,M,M,0,75004.5,N,64.8,3257058786217440,1/16/20,28 JACKSON CT E,SUSANVILLE,CA,96130,0,,
534,M,S,1,57626.9,Y,43.906667,4417323994738980,2/1/57,322 AVENUE B APT 1,CALDWELL,OH,43724,0,-81.520956,39.746333
536,F,M,2,47902,N,26.033333,2453181164182040,12/1/32,296 W BALTIMORE AVE,HAVERHILL,MA,1830,0,,
547,F,S,0,78851.3,N,48.373333,8510049993566610,9/25/50,3933 N VIRGINIA RD UNIT 101,EAGLE LAKE,TX,77434,0,,
548,F,S,1,17540.7,Y,62.786667,6348448989889440,8/17/99,159 CANAL ST,LOS ANGELES,CA,90045,0,,
549,F,M,0,83891.9,Y,61.02,3017207147425960,11/27/12,551 CROWN POINT RD,DALLAS,TX,75215,2187,-96.7542,32.7372
550,F,M,2,28220.8,N,38.766667,6068078757904020,12/16/74,5700 SUMNER CRK,NEW HAVEN,CT,6510,0,,
554,F,M,2,5237.63,N,48.753333,5946044779336410,3/13/61,601-635 HARRY L DR STE 92,BRONX,NY,10468,0,,
560,F,S,1,13576.5,N,39.426667,8929875150931160,3/9/28,1 FITCHBURG AVE,ROAN MOUNTAIN,TN,37687,0,,
564,F,M,2,67388,N,53.12,7417054283251410,11/13/27,6287 ARCH BRIDGE DR,MONROE,LA,71201,0,-92.088278,32.511728
565,F,M,1,57063,Y,52.333333,3295451857338440,11/1/19,B9 URB SAN RAMON,AUSTIN,TX,78727,0,-97.726689,30.424382
566,F,M,2,84166.1,N,54.013333,2701441385508070,11/12/23,2044 CORONADO DR SE,EATONTOWN,NJ,7724,0,,
572,F,S,1,7737.94,N,42.666667,9943091841171280,6/6/53,111 S GARLAND AVE FRNT,MANATI,PR,674,0,,
573,M,S,2,100020,N,48,7835812359791780,10/28/52,438 SUMMIT AVE # 1430 # 4128,ROXBURY CROSSING,MA,2120,0,-71.098766,42.335496
574,F,M,2,45287.6,Y,29.026667,5504986818601930,1/31/76,611 1ST AVE NE,AKRON,OH,44314,0,,
575,F,M,2,59613.1,N,34.32,8798773496234660,1/26/49,34583 S STURGEON BAY RD,MITCHELL,IN,47446,0,,
577,F,S,1,16326.7,N,50.613333,2687717822805660,2/25/28,PO BOX 8004,HILLSDALE,NJ,7642,0,,
580,F,S,2,9559.78,N,51.38,4181715189228400,12/1/48,814 TILDEN ST APT A5A,ASTORIA,NY,11102,0,-73.933893,40.774694
585,F,M,2,83284.1,Y,28.42,1502279689121530,6/8/19,A1 URB CABRERA,WILSON,NC,27893,0,-77.914615,35.726554
587,F,D,1,68427.4,N,42.393333,7676811858116630,6/7/11,9 CHURCH ST,COACHELLA,CA,92236,0,,
